fsd_no;fsd_vr;fsd_id;fsd_li;v1_1;v1_2;v1_3;v1_4;v1_5;v1_6;v2;v3_1;v3_2;v3_3;v3_4;v3_5;v4_1;v4_2;v4_3;v4_4;v5_1;v5_2;v5_3;v5_4;bv1;bv2;bv3_1;bv3_2;bv3_3;bv3_4;bv3_5;bv3_6;bv3_7;bv3_8;bv4;bv5;bv6
3077;2;31;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;2;1;1;2;1;2;2;1;2;4;2;4;3;3;2;3;2;41;5; ; ; ; ; ; ; ;3;0;,537461
3077;2;32;(A) openly available for all users without registration (CC BY 4.0);1;2;1;2;2;1;1;2;2;2;2;2;9;2;2;2;2;2;2;2;2;76;9; ; ; ; ; ; ; ;4;0;1,878909
3077;2;33;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;2;2;1;2;2;2;3;3;3;2;3;1;2;2;2;57;2; ; ; ; ; ; ; ;3;0;,691184
3077;2;34;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;2;1;1;3;3;3;2;2;2;2;9;2;2;3;2;3;2;96;8; ; ; ; ; ; ; ;4;0;,30438
3077;2;35;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;1;1;1;1;1;1;3;2;3;2;2;1;1;1;2;45;3; ; ; ; ; ; ; ;4;0;5,229253
3077;2;36;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;1;2;9;1;2;2;2;1;1;2;2;1;2;1;1;3;2;50;6; ; ; ; ; ; ; ;4;0;,316576
3077;2;37;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;1;1;1;1;2;2;2;1;1;2;1;3;3;2;3;3;1;47;5; ; ; ; ; ; ; ;4;0;2,186987
3077;2;38;(A) openly available for all users without registration (CC BY 4.0);1;2;1;2;2;2;1;2;1;3;3;3;1;2;3;1;2;1;2;1;1;47;8; ; ; ; ; ; ; ;4;0;,772496
3077;2;39;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;2;2;2;3;2;2;2;2;3;3;3;2;3;3;2;2;2;50;3; ; ; ; ; ; ; ;2;0;1,294444
3077;2;40;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;2;1;1;1;3;2;2;2;1;3;1;3;3;2;2;3;1;36;6; ; ; ; ; ; ; ;5;0;,740253
3077;2;41;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;1;1;2;4;2;1;1;2;3;3;2;1;1;1;2;61;8; ; ; ; ; ; ; ;4;0;,559976
3077;2;42;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;2;1;1;1;2;3;1;1;1;1;3;1;1;1;2;1;2;32;8; ; ; ; ; ; ; ;3;0;1,647802
3077;2;43;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;1;2;3;2;3;2;1;2;1;1;2;2;2;1;1;71;9; ; ; ; ; ; ; ;4;0;,399131
3077;2;44;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;2;1;1;1;2;2;2;2;2;9;2;3;2;1;2;2;2;40;4; ; ; ; ; ; ; ;4;0;,851961
3077;2;45;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;1;3;2;2;3;1;2;3;3;2;2;1;2;3;2;53;6; ; ; ; ; ; ; ;4;0;,138408
3077;2;46;(A) openly available for all users without registration (CC BY 4.0);2;2;9;1;1;2;1;2;2;3;3;2;2;2;2;2;2;1;3;2;2;57;8; ; ; ; ; ; ; ;9;0;,62284
3077;2;47;(A) openly available for all users without registration (CC BY 4.0);1;2;1;1;2;1;1;1;2;2;2;2;1;4;4;2;1;1;2;1;1;68;8; ; ; ; ; ; ; ;3;0;,137299
3077;2;48;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;1;2;2;3;4;2;3;2;3;3;3;2;1;3;2;2;25;2; ; ; ; ; ; ; ;5;0;1,550049
3077;2;49;(A) openly available for all users without registration (CC BY 4.0);1;2;2;1;2;1;1;2;3;4;3;3;2;2;3;2;3;3;2;3;2;49;9; ; ; ; ; ; ; ;3;0;,848248
3077;2;50;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;1;1;3;1;2;2;2;3;3;3;1;1;1;2;1;49;4; ; ; ; ; ; ; ;2;0;3,26576
3077;2;51;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;2;1;2;1;1;2;3;2;2;2;1;2;1;2;2;85;4; ; ; ; ; ; ; ;5;0;,193113
3077;2;52;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;2;1;9;2;2;1;2;2;4;2;3;3;2;2;2;2;2;38;7; ; ; ; ; ; ; ;9;0;,547735
3077;2;53;(A) openly available for all users without registration (CC BY 4.0);2;2;1;2;2;1;1;2;2;2;2;2;2;2;3;3;9;2;2;1;2;55;4; ; ; ; ; ; ; ;3;0;,86065
3077;2;54;(A) openly available for all users without registration (CC BY 4.0);1;2;1;2;2;1;2;1;3;2;3;2;1;3;2;2;4;4;1;4;1;51;8; ; ; ; ; ; ; ;5;0;1,027617
3077;2;55;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;1;1;1;2;2;1;1;1;3;2;2;2;3;3;2;3;1;21;2; ; ; ; ; ; ; ;5;0;1,677327
3077;2;56;(A) openly available for all users without registration (CC BY 4.0);2;2;1;1;1;1;1;2;3;2;1;2;1;1;3;1;1;1;1;1;1;62;7; ; ; ; ; ; ; ;3;0;,160641
3077;2;57;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;2;2;1;1;2;1;2;3;3;2;2;3;3;3;2;1;53;5; ; ; ; ; ; ; ;5;0;1,027617
3077;2;58;(A) openly available for all users without registration (CC BY 4.0);2;2;2;2;2;2;2;1;1;1;2;1;2;1;2;2;3;3;2;3;1;63;4; ; ; ; ; ; ; ;5;0;2,79418
3077;2;59;(A) openly available for all users without registration (CC BY 4.0);2;2;1;2;1;1;1;2;3;2;2;1;2;3;3;3;3;2;1;4;2;22;9; ; ; ; ; ; ; ;9;0;1,074395
3077;2;60;(A) openly available for all users without registration (CC BY 4.0);2;2;1;2;2;2;2;1;5;3;3;2;1;1;1;1;3;3;1;3;1;54;7; ; ; ; ; ; ; ;4;0;,207287
3077;2;61;(A) openly available for all users without registration (CC BY 4.0);1;1;1;1;9;9;1;2;2;3;3;2;1;2;2;1;9;3;2;2;2;87;4; ; ; ; ; ; ; ;4;0;,193113
3077;2;62;(A) openly available for all users without registration (CC BY 4.0);2;2;2;1;2;1;2;2;3;2;2;1;2;2;2;4;4;1;1;2;2;45;9; ; ; ; ; ; ; ;3;0;,800327
